product_name,energy-kcal_100g,sugars_100g,saturated-fat_100g,salt_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g,fiber_100g,proteins_100g,energy_points,sugars_points,saturated_fat_points,salt_points,fruits_points,fiber_points,proteins_points,total_negative_points,total_positive_points,total_score,nutriscore_grade
Aqua Botol 600 ml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Oat Milk,65,0.8,0.3,0.1,5,2.8,0.6,10,1,0,1,0,3,0,12,3,9,C
Le Minerale 600 ml,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Teh Pucuk Melati,29.2,7.5,0,0.00417,0,0,0,5,6,0,0,0,0,0,11,0,11,D
POCARI SWEAT 500 ml,12.4,2.9,0,0.0615,0,0,0,1,2,0,0,0,0,0,3,0,3,C
Aqua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Teh kotak teh melati,50,13,0,0.0187,0,0,0,7,9,0,0,0,0,0,16,0,16,D
Ultra Milk 1 liter,60,4,1.4,0.022,0,0.8,3.2,9,3,1,0,0,1,1,13,2,11,D
Bear Brand milk susu steril,63.5,4.76,2.65,0.0503,0,0,3.17,9,4,2,0,0,0,1,15,1,14,D
POCARI SWEAT 350ml,24,5.6,0,0.048,0,0,0,4,4,0,0,0,0,0,8,0,8,C
You C1000 Vitamin Lemon,50,11.4,0,0.179,0,0,0,7,8,0,1,0,0,0,16,0,16,D
Floridina Orange 350ML,45.7,10.9,0,0.0143,0,0,0,7,8,0,0,0,0,0,15,0,15,D
Ultra milk coklat,80,9.5,1.5,0.0225,0,0,3,10,7,1,0,0,0,1,18,1,17,D
Teh Pucuk Harum Less Sugar,18.8,5,0,0.0417,0,0,0,3,4,0,0,0,0,0,7,0,7,C
Ultra milk full cream 250 ml E-1B,120,8,3,0.04,0,1,6,10,6,2,0,0,1,3,18,4,14,D
Haribo happy cola,367,46.7,0,0,0,3.33,6.67,10,10,0,0,0,4,4,20,8,12,D
ENERGEN SUSU,438,46.9,12.5,0.469,0,3.12,6.25,10,10,10,5,0,4,3,35,7,28,E
Indomilk UHT Full Cream Plain,60,4.4,1.4,0.052,0,0,3.2,9,3,1,0,0,0,1,13,1,12,D
cocacola,100,27,0,0.015,0,0,0,10,10,0,0,0,0,0,20,0,20,E
Real Good Susu UHT Sereal Cokelat,100,13,1.5,0.055,0,0,3,10,9,1,0,0,0,1,20,1,19,E
SUSU BENDERA COKLAT,342,47.4,5.26,0.0789,0,0,2.63,10,10,5,0,0,0,1,25,1,24,E
NÃœ Yoghurt Tea,90,20,0,0.02,0,0,0,10,10,0,0,0,0,0,20,0,20,E
SUSU ULTRA MILK  COKLAT 250ML,80,9.5,1.5,0.0225,0,0,3,10,7,1,0,0,0,1,18,1,17,D
Tebs sparkling mix pet,120,30,0,0.2375,0,0,0,10,10,0,2,0,0,0,22,0,22,E
Oat milk,130,6,5,0.2375,0,2,1,10,5,4,2,0,2,0,21,2,19,E
Floridina Coco 350ml,51.4,10.9,0,0.0143,0,0,0,8,8,0,0,0,0,0,16,0,16,D
milku stroberi 200ml,75,11,1.5,0.065,0,0,3,10,8,1,0,0,0,1,19,1,18,D
Buavita Orange Juice 250ml,52,8,0,0.055,0,0.8,0,8,6,0,0,0,1,0,14,1,13,D
Golda Dolce latte coffee 200,60,7.5,1,0.0525,0,0,1,9,6,0,0,0,0,0,15,0,15,D
Indomilk UHT Chocolate,72,10,1.4,0.036,0,0,2.4,10,7,1,0,0,0,1,18,1,17,D
milku coklat btl 200ML,80,11,1.5,0.0525,0,0,3,10,8,1,0,0,0,1,19,1,18,D
ultra mimi kids coklat,80,12,1.6,0.048,0,1.6,3.2,10,9,1,0,0,2,1,20,3,17,D
SGM Eksplor 3+ Cokelat,425,42.5,5,0.225,0,2.5,12.5,10,10,4,2,0,3,5,26,8,18,D
Diamond Full Cream Milk UHT,60,3,2,0.05,0,0,3,9,3,1,0,0,0,1,13,1,12,D
Greenfield uht extra vanila,65,9,1.5,0.0688,0,0,2.5,10,7,1,0,0,0,1,18,1,17,D
nutriboost rasa jeruk,48,8.8,0.4,0.05,1,0,0.4,7,6,0,0,0,0,0,13,0,13,D
Cimory UHT Chocolate Milk,91.7,8.33,1.67,0.0583,0,0,2.92,10,6,1,0,0,0,1,17,1,16,D
Diamond Fresh Milk,60,3.5,2.5,0.045,0,4.5,3,9,3,2,0,0,5,1,14,6,8,C
Greenfields Chocolate UHT Milk,76.2,9.52,1.43,0.0286,2.055,0,2.86,10,7,1,0,0,0,1,18,1,17,D
Milk Life UHT Chocolate,75,9.5,1.5,0.0325,0,0,2.5,10,7,1,0,0,0,1,18,1,17,D
Diamond UHT Chocolate,75,8.5,1.5,0.035,0,0,2,10,6,1,0,0,0,1,17,1,16,D
Air Mineral Amidis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Caffino,75,10,2.5,0.0375,0,0,0.5,10,7,2,0,0,0,0,19,0,19,E
mizone activ lychee lemon,35,8,0,0.065,0,0,0,5,6,0,0,0,0,0,11,0,11,D
Lemon Water 500ml,30,7.4,0,12,3.7,0,0,5,5,0,10,0,0,0,20,0,20,E
Tora Cafe Iced Milky 180,50,5,1.94,0.161,0,0,0.556,7,4,1,1,0,0,0,13,0,13,D
Creammy Latte,500,36.4,20.5,0.159,0,0,4.55,10,10,10,1,0,0,2,31,2,29,E
ultra mimi kids full cream,56,4.8,2,0.048,0,1.6,3.2,8,4,1,0,0,2,1,13,3,10,C
ultra milk mini strawberry,80,9.6,1.2,0.06,0,0.8,3.2,10,7,1,0,0,1,1,18,2,16,D
Isoplus Coco 350ml,28.6,6.86,0,0.0543,0.3,0,0,5,5,0,0,0,0,0,10,0,10,C
Cimory Squeeze Original,100,10,2,0.1875,0,3,3,10,7,1,2,0,4,1,20,5,15,D
golda coffee latte,120,15,2,0.105,0,0,2,10,10,1,1,0,0,1,22,1,21,E
purefarm full cream E-1B,130,10,3.5,0.25,0,0,7,10,7,3,2,0,0,4,22,4,18,D
Fruit Tea Rasa Apel,40,9,0,0.0563,0,0,0,6,7,0,0,0,0,0,13,0,13,D
NU Green Tea,35,8,0,0.005,0,0,0,5,6,0,0,0,0,0,11,0,11,D
GreenFields Full Cream Milk,64,4.8,2.4,0.088,0,0,3.2,9,4,2,0,0,0,1,15,1,14,D
Nabati,500,30,10,0.2,0,0,10,10,10,9,2,0,0,5,31,5,26,E
Coca Cola,40,10,0,0.0145,0,0,0,6,7,0,0,0,0,0,13,0,13,D
Bendera susu Kental Manis,333,50,5,0.0667,0,0,3.33,10,10,4,0,0,0,2,24,2,22,E
Abc Kopi Susu,60,7,1.25,0.07,0,2,0.5,9,5,1,0,0,2,0,15,2,13,D
Sari Wangi 100% Teh Asli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Kapal Api Original Black Cofee,50,9.5,0.25,0.0025,0,0,0.5,7,7,0,0,0,0,0,14,0,14,D
Gilus Mix Sweet Ginger,90,17,0,0.02,0,0,1,10,10,0,0,0,0,0,20,0,20,E
Frisian Flag Swiss Chocolate 946 ml,160,20,3,0.3125,0,0,5,10,10,2,3,0,0,3,25,3,22,E
Buavita Juice Jambu 245ml,120,23,0,0.065,0,0,0,10,10,0,0,0,0,0,20,0,20,E
Club Air Mineral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Nu Green Tea Rasa Madu,80,18,0,0.01,0,0,0,10,10,0,0,0,0,0,20,0,20,E
Coca cola Cola (diet)   Refresh 'N Connect,0,0,0,0.0227,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Soda Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Ultra Milk Full Cream,60,4,1.5,0.02,0,0.5,3,9,3,1,0,0,0,1,13,1,12,D
tarik malaka untuk,120,11,3.5,63.5,0,4,2,10,8,3,10,0,5,1,31,6,25,E
Frisian Flag Purefarm Swiss Chocolate,71.1,8.44,1.33,0.0556,0,0,2.22,10,6,1,0,0,0,1,17,1,16,D
Gilus Mix Gula Aren,60,11.3,0,0,0,0,0.667,9,8,0,0,0,0,0,17,0,17,D
Hydro Coco,60,7,0,0,0,8,0,9,5,0,0,0,5,0,14,5,9,C
Good mood lemon madu,20,4.89,0,0.00693,0,0,0,3,4,0,0,0,0,0,7,0,7,C
mineral water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B
Kental Manis,130,19,1.5,0.025,0,0,1,10,10,1,0,0,0,0,21,0,21,E
Ion Supply Drink 900ml,60,14,0,0,0,0,0,9,10,0,0,0,0,0,19,0,19,E
White Koffie,90,12,2,0.35,0,1,1,10,9,1,3,0,1,0,23,1,22,E
Gilus Mix Pandan,60,11.3,0,0,0,0,0.667,9,8,0,0,0,0,0,17,0,17,D
Dancow Uht Fg Coklat 110Ml,63.6,9.09,0.909,0.0682,0,0,1.82,9,7,0,0,0,0,1,16,1,15,D
Indomilk Kids Chocolate UHT Milk,69.6,9.57,1.74,0.0348,0,0,2.61,10,7,1,0,0,0,1,18,1,17,D
Fruit Tea Apel,36,8.8,0,0.06,0,0,0,6,6,0,0,0,0,0,12,0,12,D
Cimory fresh milk Marie 250ML,80,7.2,1.6,0.056,0,0,2.8,10,5,1,0,0,0,1,16,1,15,D
Frisian Flag Milky Choco,60.9,7.83,1.74,0.0435,0,0,1.74,9,6,1,0,0,0,1,16,1,15,D
Indomilk Kids Full Cream UHT Milk,52.2,0,1.3,0.12,0,0.87,2.61,8,0,1,1,0,1,1,10,2,8,C
